frame,u,v,X,Y,Z,n
0,388.0,470.0,35.809326,15.453966,3.8147426,240
1,387.5,470.5,35.16555,15.119011,3.7212038,275
2,386.0,470.0,35.532806,15.329686,3.7590985,312
3,,,,,,
4,,,,,,
5,,,,,,
6,379.0,467.5,34.87386,15.244392,3.7306945,324
7,378.5,467.0,34.72254,15.219027,3.7166603,286
8,377.0,467.0,35.900295,15.738672,3.867705,311
9,376.0,467.5,35.659218,15.698788,3.7933574,316
10,373.5,468.0,34.214108,15.12533,3.6992486,338
11,372.0,467.0,33.735348,14.960249,3.6352544,312
12,370.5,466.0,34.374756,15.272116,3.746808,338
13,370.0,465.5,35.220688,15.629326,3.8267627,324
14,368.0,466.0,35.13939,15.6756315,3.847404,310
15,366.5,465.0,33.50627,14.986229,3.6887798,286
16,365.0,464.5,33.215576,14.898815,3.6671762,300
17,363.5,464.0,33.725235,15.151562,3.7263553,286
18,362.5,462.5,33.704285,15.188225,3.7781453,351
19,361.0,462.0,34.490185,15.575591,3.8965561,312
20,360.0,462.0,34.493637,15.564409,3.8886833,307
21,359.0,461.5,33.955612,15.448229,3.8796785,324
22,357.0,461.0,33.08233,15.065696,3.7550538,312
23,,,,,,
24,353.0,459.0,32.898434,15.044562,3.8009784,336
25,351.5,458.5,33.21821,15.232412,3.8457675,297
26,350.0,458.0,34.082962,15.7156515,3.8855577,312
27,347.5,457.0,32.45427,14.981503,3.7554348,364
28,346.5,457.5,32.65076,15.139023,3.783376,362
29,345.5,457.0,33.2835,15.448822,3.872955,323
30,344.5,456.5,34.043495,15.799641,3.9828563,361
31,343.5,457.0,32.816246,15.2309475,3.8380537,356
32,342.5,457.5,32.9955,15.37377,3.8219075,363
33,341.5,457.5,32.39827,15.1446,3.7795837,368
34,341.0,458.5,32.501366,15.188681,3.7514765,326
35,339.5,459.5,31.121292,14.594185,3.643445,339
36,338.5,460.0,30.693823,14.397502,3.5687842,318
37,337.0,460.5,31.98846,15.103687,3.6185408,376
38,335.0,459.0,32.83274,15.505505,3.6972675,392
39,334.0,458.0,31.38118,14.828193,3.6320257,418
