frame,t_s,x_m,y_m,heading_deg,range_m,speed_mps
0,0.0,38.898,0.0,-203.272,38.898,3.7651
1,0.0334,38.7834,0.0496,-203.252,38.7834,3.6909
2,0.0669,38.6711,0.0982,-203.232,38.6713,3.6165
3,0.1003,38.5611,0.1458,-203.214,38.5614,3.5422
4,0.1338,38.4534,0.1923,-203.198,38.4539,3.4677
5,0.1672,38.3479,0.2379,-203.183,38.3486,3.3932
6,0.2007,38.2447,0.2825,-203.169,38.2458,3.3187
7,0.2341,38.1438,0.326,-203.156,38.1452,3.2441
8,0.2676,38.0452,0.3686,-203.146,38.047,3.1694
9,0.301,37.9489,0.4102,-203.136,37.9511,3.0947
10,0.3344,37.8548,0.4507,-203.128,37.8575,3.0199
11,0.3679,37.7631,0.4903,-203.122,37.7663,2.945
12,0.4013,37.6737,0.5289,-203.116,37.6774,2.8701
13,0.4348,37.5865,0.5665,-203.113,37.5908,2.7951
14,0.4682,37.5017,0.6032,-203.111,37.5066,2.7201
15,0.5017,37.4192,0.6388,-203.11,37.4246,2.645
16,0.5351,37.3552,0.6738,-203.119,37.3613,2.5975
17,0.5686,37.2461,0.7072,-203.121,37.2528,2.6219
18,0.602,37.1862,0.742,-203.121,37.1936,2.6591
19,0.6355,37.1113,0.777,-203.121,37.1194,2.669
20,0.6689,37.0896,0.8133,-203.121,37.0985,2.9757
21,0.7023,37.0568,0.8536,-203.115,37.0666,3.3567
22,0.7358,36.9275,0.8969,-203.095,36.9384,3.4223
23,0.7692,36.7478,0.9398,-203.075,36.7598,3.298
24,0.8027,36.7172,0.9848,-203.056,36.7304,3.1979
25,0.8361,36.6364,1.0271,-203.036,36.6508,2.8616
26,0.8696,36.5573,1.0647,-203.03,36.5728,3.1163
27,0.903,36.413,1.1039,-203.02,36.4297,3.3467
28,0.9365,36.2979,1.1471,-203.002,36.3161,3.4244
29,0.9699,36.2211,1.1927,-202.976,36.2407,3.2222
30,1.0033,36.2314,1.2384,-202.955,36.2525,3.3371
31,1.0368,36.1325,1.2819,-202.927,36.1553,3.745
32,1.0702,35.9555,1.3283,-202.891,35.98,4.0157
33,1.1037,35.7873,1.3786,-202.844,35.8138,4.1135
34,1.1371,35.6385,1.4309,-202.799,35.6672,4.298
35,1.1706,35.5608,1.4887,-202.742,35.5919,4.4127
36,1.204,35.4513,1.5467,-202.671,35.485,4.3333
37,1.2375,35.2697,1.6001,-202.607,35.3059,4.0625
38,1.2709,35.1292,1.6515,-202.548,35.168,4.3125
39,1.3043,34.9376,1.7037,-202.478,34.9791,4.3913
40,1.3378,34.75,1.757,-202.401,34.7944,4.5163
41,1.3712,34.6223,1.8149,-202.319,34.6698,4.7497
42,1.4047,34.4714,1.8748,-202.233,34.5224,4.3995
43,1.4381,34.3203,1.9293,-202.15,34.3744,4.7279
44,1.4716,34.1684,1.9884,-202.061,34.2262,4.9912
45,1.505,34.046,2.0527,-201.967,34.1079,5.0811
46,1.5385,33.9596,2.1204,-201.86,34.0258,4.8841
47,1.5719,33.8244,2.182,-201.753,33.8947,4.9426
48,1.6054,33.6948,2.2445,-201.647,33.7694,4.8626
49,1.6388,33.519,2.3025,-201.544,33.598,4.7607
50,1.6722,33.4115,2.3635,-201.441,33.495,4.837
51,1.7057,33.2309,2.4202,-201.343,33.3189,5.2368
52,1.7391,32.9792,2.4769,-201.23,33.0721,5.6029
53,1.7726,32.8065,2.5445,-201.113,32.905,5.718
54,1.806,32.6902,2.6179,-200.991,32.7949,5.609
55,1.8395,32.4999,2.6835,-200.874,32.6105,5.7797
56,1.8729,32.3055,2.7507,-200.749,32.4224,5.355
57,1.9064,32.0981,2.8103,-200.632,32.2209,5.3788
58,1.9398,31.9325,2.8735,-200.514,32.0615,5.3264
59,1.9732,31.7779,2.9367,-200.392,31.9133,5.2938
60,2.0067,31.6135,2.9982,-200.267,31.7554,5.0069
61,2.0401,31.4286,3.0531,-200.152,31.5766,5.3087
62,2.0736,31.2139,3.1091,-200.026,31.3684,5.4783
63,2.107,31.0631,3.1736,-199.889,31.2248,5.5802
64,2.1405,30.9207,3.2401,-199.752,31.09,5.6261
65,2.1739,30.7268,3.3015,-199.6,30.9036,5.6499
66,2.2074,30.5136,3.3605,-199.443,30.6981,5.9135
67,2.2408,30.3297,3.4261,-199.278,30.5226,6.0406
68,2.2742,30.1857,3.4977,-199.105,30.3877,5.7219
69,2.3077,29.9934,3.5585,-198.93,30.2037,5.8194
70,2.3411,29.8725,3.6288,-198.741,30.0921,5.8778
71,2.3746,29.7141,3.695,-198.546,29.9429,5.83
72,2.408,29.4966,3.7523,-198.343,29.7343,5.9405
73,2.4415,29.3745,3.823,-198.123,29.6222,5.7246
74,2.4749,29.1526,3.8767,-197.908,29.4092,5.6929
75,2.5084,28.9338,3.9297,-197.682,29.1994,5.6957
76,2.5418,28.7243,3.9832,-197.432,28.9992,5.7645
77,2.5753,28.5347,4.0396,-197.168,28.8192,5.7952
78,2.6087,28.3583,4.0976,-196.891,28.6528,5.9366
79,2.6421,28.1782,4.1562,-196.596,28.4831,5.9643
80,2.6756,28.0351,4.2199,-196.281,28.3509,5.8729
81,2.709,27.8185,4.2701,-195.968,28.1443,5.908
82,2.7425,27.5928,4.3184,-195.61,27.9287,6.0122
83,2.7759,27.4146,4.3744,-195.251,27.7614,6.1267
84,2.8094,27.203,4.4254,-194.878,27.5607,6.291
85,2.8428,26.9497,4.4706,-194.476,27.318,6.3428
86,2.8763,26.728,4.5202,-194.061,27.1075,6.5533
87,2.9097,26.5499,4.5788,-193.648,26.9418,6.2893
88,2.9431,26.3466,4.628,-193.226,26.75,6.1517
89,2.9766,26.1423,4.6738,-192.798,26.5568,6.0564
90,3.01,25.9315,4.7156,-192.37,26.3568,5.9518
91,3.0435,25.7818,4.766,-191.937,26.2186,5.7023
